                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5779,                 4.9797,                0.95948,                0.00381,                0.87738,                0.39961,                0.36831,                0.57819,                 3.3215,                0.89279,             0.00010908,             0.00010908,             0.00010908
                      2,                0.58984,                 4.3552,                0.90683,                0.00421,                0.90595,                0.54979,                0.47874,                0.61515,                 3.0465,                0.91556,             0.00020475,             0.00020475,             0.00020475
                      3,                 0.5501,                 3.7579,                0.88341,                0.00683,                0.92381,                0.63835,                0.57018,                0.56708,                 2.8117,                0.90745,             0.00027703,             0.00027703,             0.00027703
                      4,                 0.5458,                 3.0591,                0.88873,                0.90948,                0.22493,                0.67628,                0.60196,                0.57609,                 2.7019,                0.89075,              0.0003259,              0.0003259,              0.0003259
                      5,                0.52089,                 2.6764,                0.84885,                0.90763,                0.30932,                0.72444,                 0.6219,                0.59448,                 2.5298,                 0.9018,             0.00035138,             0.00035138,             0.00035138
                      6,                0.50669,                 2.5433,                0.85546,                0.80688,                0.63853,                0.80929,                0.72814,                0.58754,                 2.1825,                0.89201,             0.00035346,             0.00035346,             0.00035346
                      7,                0.48906,                 2.2818,                0.86721,                0.79887,                0.70852,                0.82375,                0.71716,                0.61744,                 1.9778,                0.90685,             0.00033215,             0.00033215,             0.00033215
                      8,                0.45426,                 2.1803,                0.83747,                0.78031,                0.75596,                0.83495,                0.74434,                0.58969,                 1.6503,                0.88894,             0.00027906,             0.00027906,             0.00027906
                      9,                0.44863,                 2.1142,                0.83104,                0.85234,                0.72263,                0.84218,                 0.7501,                0.59694,                 1.3832,                0.88343,             0.00018907,             0.00018907,             0.00018907
                     10,                 0.4119,                 2.0301,                0.80839,                0.86953,                0.76022,                0.83949,                0.75975,                0.58755,                 1.1656,                0.88119,             9.9081e-05,             9.9081e-05,             9.9081e-05
